driver,team,status,grid,finish_pos,year,round,circuit,dnf_type,is_dnf,is_engine_dnf
STR,Aston Martin,Finished,8.0,7,2024,12,Silverstone,finished,0,0
ALO,Aston Martin,Finished,10.0,8,2024,12,Silverstone,finished,0,0
ALB,Williams,Finished,9.0,9,2024,12,Silverstone,finished,0,0
TSU,RB,Finished,13.0,10,2024,12,Silverstone,finished,0,0
SAR,Williams,Finished,12.0,11,2024,12,Silverstone,finished,0,0
MAG,Haas F1 Team,Finished,17.0,12,2024,12,Silverstone,finished,0,0
RIC,RB,Lapped,15.0,13,2024,12,Silverstone,other_dnf,1,0
LEC,Ferrari,Lapped,11.0,14,2024,12,Silverstone,other_dnf,1,0
BOT,Kick Sauber,Lapped,16.0,15,2024,12,Silverstone,other_dnf,1,0
OCO,Alpine,Lapped,18.0,16,2024,12,Silverstone,other_dnf,1,0
PER,Red Bull Racing,Lapped,20.0,17,2024,12,Silverstone,other_dnf,1,0
ZHO,Kick Sauber,Lapped,14.0,18,2024,12,Silverstone,other_dnf,1,0
RUS,Mercedes,Retired,1.0,R,2024,12,Silverstone,other_dnf,1,0
GAS,Alpine,Did not start,19.0,W,2024,12,Silverstone,other_dnf,1,0
PIA,McLaren,Finished,2.0,1,2024,13,Budapest,finished,0,0
NOR,McLaren,Finished,1.0,2,2024,13,Budapest,finished,0,0
HAM,Mercedes,Finished,5.0,3,2024,13,Budapest,finished,0,0
LEC,Ferrari,Finished,6.0,4,2024,13,Budapest,finished,0,0
VER,Red Bull Racing,Finished,3.0,5,2024,13,Budapest,finished,0,0
SAI,Ferrari,Finished,4.0,6,2024,13,Budapest,finished,0,0
PER,Red Bull Racing,Finished,16.0,7,2024,13,Budapest,finished,0,0
RUS,Mercedes,Finished,17.0,8,2024,13,Budapest,finished,0,0
TSU,RB,Finished,10.0,9,2024,13,Budapest,finished,0,0
STR,Aston Martin,Finished,8.0,10,2024,13,Budapest,finished,0,0
ALO,Aston Martin,Finished,7.0,11,2024,13,Budapest,finished,0,0
RIC,RB,Lapped,9.0,12,2024,13,Budapest,other_dnf,1,0
HUL,Haas F1 Team,Lapped,11.0,13,2024,13,Budapest,other_dnf,1,0
ALB,Williams,Lapped,13.0,14,2024,13,Budapest,other_dnf,1,0
MAG,Haas F1 Team,Lapped,15.0,15,2024,13,Budapest,other_dnf,1,0
BOT,Kick Sauber,Lapped,12.0,16,2024,13,Budapest,other_dnf,1,0
SAR,Williams,Lapped,14.0,17,2024,13,Budapest,other_dnf,1,0
OCO,Alpine,Lapped,19.0,18,2024,13,Budapest,other_dnf,1,0
ZHO,Kick Sauber,Lapped,18.0,19,2024,13,Budapest,other_dnf,1,0
GAS,Alpine,Retired,20.0,R,2024,13,Budapest,other_dnf,1,0
HAM,Mercedes,Finished,3.0,1,2024,14,Spa-Francorchamps,finished,0,0
PIA,McLaren,Finished,5.0,2,2024,14,Spa-Francorchamps,finished,0,0
LEC,Ferrari,Finished,1.0,3,2024,14,Spa-Francorchamps,finished,0,0
VER,Red Bull Racing,Finished,11.0,4,2024,14,Spa-Francorchamps,finished,0,0
NOR,McLaren,Finished,4.0,5,2024,14,Spa-Francorchamps,finished,0,0
SAI,Ferrari,Finished,7.0,6,2024,14,Spa-Francorchamps,finished,0,0
PER,Red Bull Racing,Finished,2.0,7,2024,14,Spa-Francorchamps,finished,0,0
ALO,Aston Martin,Finished,8.0,8,2024,14,Spa-Francorchamps,finished,0,0
OCO,Alpine,Finished,9.0,9,2024,14,Spa-Francorchamps,finished,0,0
RIC,RB,Finished,13.0,10,2024,14,Spa-Francorchamps,finished,0,0
STR,Aston Martin,Finished,15.0,11,2024,14,Spa-Francorchamps,finished,0,0
ALB,Williams,Finished,10.0,12,2024,14,Spa-Francorchamps,finished,0,0
GAS,Alpine,Finished,12.0,13,2024,14,Spa-Francorchamps,finished,0,0
MAG,Haas F1 Team,Finished,17.0,14,2024,14,Spa-Francorchamps,finished,0,0
BOT,Kick Sauber,Finished,14.0,15,2024,14,Spa-Francorchamps,finished,0,0
TSU,RB,Finished,20.0,16,2024,14,Spa-Francorchamps,finished,0,0
SAR,Williams,Finished,18.0,17,2024,14,Spa-Francorchamps,finished,0,0
HUL,Haas F1 Team,Finished,16.0,18,2024,14,Spa-Francorchamps,finished,0,0
ZHO,Kick Sauber,Retired,19.0,R,2024,14,Spa-Francorchamps,other_dnf,1,0
RUS,Mercedes,Disqualified,6.0,20,2024,14,Spa-Francorchamps,other_dnf,1,0
NOR,McLaren,Finished,1.0,1,2024,15,Zandvoort,finished,0,0
VER,Red Bull Racing,Finished,2.0,2,2024,15,Zandvoort,finished,0,0
LEC,Ferrari,Finished,6.0,3,2024,15,Zandvoort,finished,0,0
PIA,McLaren,Finished,3.0,4,2024,15,Zandvoort,finished,0,0
SAI,Ferrari,Finished,10.0,5,2024,15,Zandvoort,finished,0,0
PER,Red Bull Racing,Finished,5.0,6,2024,15,Zandvoort,finished,0,0
RUS,Mercedes,Finished,4.0,7,2024,15,Zandvoort,finished,0,0
HAM,Mercedes,Finished,14.0,8,2024,15,Zandvoort,finished,0,0
GAS,Alpine,Lapped,9.0,9,2024,15,Zandvoort,other_dnf,1,0
ALO,Aston Martin,Lapped,7.0,10,2024,15,Zandvoort,other_dnf,1,0
HUL,Haas F1 Team,Lapped,12.0,11,2024,15,Zandvoort,other_dnf,1,0
RIC,RB,Lapped,13.0,12,2024,15,Zandvoort,other_dnf,1,0
STR,Aston Martin,Lapped,8.0,13,2024,15,Zandvoort,other_dnf,1,0
ALB,Williams,Lapped,19.0,14,2024,15,Zandvoort,other_dnf,1,0
OCO,Alpine,Lapped,15.0,15,2024,15,Zandvoort,other_dnf,1,0
SAR,Williams,Lapped,18.0,16,2024,15,Zandvoort,other_dnf,1,0
TSU,RB,Lapped,11.0,17,2024,15,Zandvoort,other_dnf,1,0
MAG,Haas F1 Team,Lapped,20.0,18,2024,15,Zandvoort,other_dnf,1,0
BOT,Kick Sauber,Lapped,16.0,19,2024,15,Zandvoort,other_dnf,1,0
ZHO,Kick Sauber,Lapped,17.0,20,2024,15,Zandvoort,other_dnf,1,0
LEC,Ferrari,Finished,4.0,1,2024,16,Monza,finished,0,0
PIA,McLaren,Finished,2.0,2,2024,16,Monza,finished,0,0
NOR,McLaren,Finished,1.0,3,2024,16,Monza,finished,0,0
SAI,Ferrari,Finished,5.0,4,2024,16,Monza,finished,0,0
HAM,Mercedes,Finished,6.0,5,2024,16,Monza,finished,0,0
VER,Red Bull Racing,Finished,7.0,6,2024,16,Monza,finished,0,0
RUS,Mercedes,Finished,3.0,7,2024,16,Monza,finished,0,0
PER,Red Bull Racing,Finished,8.0,8,2024,16,Monza,finished,0,0
ALB,Williams,Finished,9.0,9,2024,16,Monza,finished,0,0
MAG,Haas F1 Team,Finished,13.0,10,2024,16,Monza,finished,0,0
ALO,Aston Martin,Finished,11.0,11,2024,16,Monza,finished,0,0
COL,Williams,Finished,18.0,12,2024,16,Monza,finished,0,0
RIC,RB,Finished,12.0,13,2024,16,Monza,finished,0,0
OCO,Alpine,Lapped,15.0,14,2024,16,Monza,other_dnf,1,0
GAS,Alpine,Lapped,14.0,15,2024,16,Monza,other_dnf,1,0
BOT,Kick Sauber,Lapped,19.0,16,2024,16,Monza,other_dnf,1,0
HUL,Haas F1 Team,Lapped,10.0,17,2024,16,Monza,other_dnf,1,0
ZHO,Kick Sauber,Lapped,20.0,18,2024,16,Monza,other_dnf,1,0
STR,Aston Martin,Lapped,17.0,19,2024,16,Monza,other_dnf,1,0
TSU,RB,Retired,16.0,R,2024,16,Monza,other_dnf,1,0
PIA,McLaren,Finished,2.0,1,2024,17,Baku,finished,0,0
LEC,Ferrari,Finished,1.0,2,2024,17,Baku,finished,0,0
RUS,Mercedes,Finished,5.0,3,2024,17,Baku,finished,0,0
NOR,McLaren,Finished,15.0,4,2024,17,Baku,finished,0,0
VER,Red Bull Racing,Finished,6.0,5,2024,17,Baku,finished,0,0
ALO,Aston Martin,Finished,7.0,6,2024,17,Baku,finished,0,0
ALB,Williams,Finished,9.0,7,2024,17,Baku,finished,0,0
COL,Williams,Finished,8.0,8,2024,17,Baku,finished,0,0
HAM,Mercedes,Finished,19.0,9,2024,17,Baku,finished,0,0
BEA,Haas F1 Team,Finished,10.0,10,2024,17,Baku,finished,0,0
HUL,Haas F1 Team,Finished,12.0,11,2024,17,Baku,finished,0,0
GAS,Alpine,Finished,18.0,12,2024,17,Baku,finished,0,0
RIC,RB,Finished,14.0,13,2024,17,Baku,finished,0,0
ZHO,Kick Sauber,Finished,17.0,14,2024,17,Baku,finished,0,0
OCO,Alpine,Lapped,20.0,15,2024,17,Baku,other_dnf,1,0
BOT,Kick Sauber,Lapped,16.0,16,2024,17,Baku,other_dnf,1,0
PER,Red Bull Racing,Retired,4.0,17,2024,17,Baku,other_dnf,1,0
SAI,Ferrari,Retired,3.0,18,2024,17,Baku,other_dnf,1,0
STR,Aston Martin,Retired,13.0,19,2024,17,Baku,other_dnf,1,0
TSU,RB,Retired,11.0,R,2024,17,Baku,other_dnf,1,0
NOR,McLaren,Finished,1.0,1,2024,18,Marina Bay,finished,0,0
VER,Red Bull Racing,Finished,2.0,2,2024,18,Marina Bay,finished,0,0
PIA,McLaren,Finished,5.0,3,2024,18,Marina Bay,finished,0,0
RUS,Mercedes,Finished,4.0,4,2024,18,Marina Bay,finished,0,0
LEC,Ferrari,Finished,9.0,5,2024,18,Marina Bay,finished,0,0
HAM,Mercedes,Finished,3.0,6,2024,18,Marina Bay,finished,0,0
SAI,Ferrari,Finished,10.0,7,2024,18,Marina Bay,finished,0,0
ALO,Aston Martin,Lapped,7.0,8,2024,18,Marina Bay,other_dnf,1,0
HUL,Haas F1 Team,Lapped,6.0,9,2024,18,Marina Bay,other_dnf,1,0
PER,Red Bull Racing,Lapped,13.0,10,2024,18,Marina Bay,other_dnf,1,0
COL,Williams,Lapped,12.0,11,2024,18,Marina Bay,other_dnf,1,0
TSU,RB,Lapped,8.0,12,2024,18,Marina Bay,other_dnf,1,0
OCO,Alpine,Lapped,15.0,13,2024,18,Marina Bay,other_dnf,1,0
STR,Aston Martin,Lapped,17.0,14,2024,18,Marina Bay,other_dnf,1,0
ZHO,Kick Sauber,Lapped,20.0,15,2024,18,Marina Bay,other_dnf,1,0
BOT,Kick Sauber,Lapped,19.0,16,2024,18,Marina Bay,other_dnf,1,0
GAS,Alpine,Lapped,18.0,17,2024,18,Marina Bay,other_dnf,1,0
RIC,RB,Lapped,16.0,18,2024,18,Marina Bay,other_dnf,1,0
MAG,Haas F1 Team,Retired,14.0,19,2024,18,Marina Bay,other_dnf,1,0
ALB,Williams,Retired,11.0,R,2024,18,Marina Bay,other_dnf,1,0
LEC,Ferrari,Finished,4.0,1,2024,19,Austin,finished,0,0
SAI,Ferrari,Finished,3.0,2,2024,19,Austin,finished,0,0
VER,Red Bull Racing,Finished,2.0,3,2024,19,Austin,finished,0,0
NOR,McLaren,Finished,1.0,4,2024,19,Austin,finished,0,0
PIA,McLaren,Finished,5.0,5,2024,19,Austin,finished,0,0
RUS,Mercedes,Finished,20.0,6,2024,19,Austin,finished,0,0
PER,Red Bull Racing,Finished,9.0,7,2024,19,Austin,finished,0,0
HUL,Haas F1 Team,Finished,11.0,8,2024,19,Austin,finished,0,0
LAW,RB,Finished,19.0,9,2024,19,Austin,finished,0,0
COL,Williams,Finished,15.0,10,2024,19,Austin,finished,0,0
MAG,Haas F1 Team,Finished,8.0,11,2024,19,Austin,finished,0,0
GAS,Alpine,Finished,6.0,12,2024,19,Austin,finished,0,0
ALO,Aston Martin,Lapped,7.0,13,2024,19,Austin,other_dnf,1,0
TSU,RB,Lapped,10.0,14,2024,19,Austin,other_dnf,1,0
STR,Aston Martin,Lapped,13.0,15,2024,19,Austin,other_dnf,1,0
ALB,Williams,Lapped,14.0,16,2024,19,Austin,other_dnf,1,0
BOT,Kick Sauber,Lapped,16.0,17,2024,19,Austin,other_dnf,1,0
OCO,Alpine,Lapped,12.0,18,2024,19,Austin,other_dnf,1,0
ZHO,Kick Sauber,Lapped,18.0,19,2024,19,Austin,other_dnf,1,0
HAM,Mercedes,Retired,17.0,R,2024,19,Austin,other_dnf,1,0
SAI,Ferrari,Finished,1.0,1,2024,20,Mexico City,finished,0,0
NOR,McLaren,Finished,3.0,2,2024,20,Mexico City,finished,0,0
LEC,Ferrari,Finished,4.0,3,2024,20,Mexico City,finished,0,0
HAM,Mercedes,Finished,6.0,4,2024,20,Mexico City,finished,0,0
RUS,Mercedes,Finished,5.0,5,2024,20,Mexico City,finished,0,0
VER,Red Bull Racing,Finished,2.0,6,2024,20,Mexico City,finished,0,0
MAG,Haas F1 Team,Finished,7.0,7,2024,20,Mexico City,finished,0,0
PIA,McLaren,Finished,17.0,8,2024,20,Mexico City,finished,0,0
HUL,Haas F1 Team,Lapped,10.0,9,2024,20,Mexico City,other_dnf,1,0
GAS,Alpine,Lapped,8.0,10,2024,20,Mexico City,other_dnf,1,0
STR,Aston Martin,Lapped,14.0,11,2024,20,Mexico City,other_dnf,1,0
COL,Williams,Lapped,16.0,12,2024,20,Mexico City,other_dnf,1,0
OCO,Alpine,Lapped,0.0,13,2024,20,Mexico City,other_dnf,1,0
BOT,Kick Sauber,Lapped,15.0,14,2024,20,Mexico City,other_dnf,1,0
ZHO,Kick Sauber,Lapped,19.0,15,2024,20,Mexico City,other_dnf,1,0
LAW,RB,Lapped,12.0,16,2024,20,Mexico City,other_dnf,1,0
PER,Red Bull Racing,Lapped,18.0,17,2024,20,Mexico City,other_dnf,1,0
ALO,Aston Martin,Retired,13.0,R,2024,20,Mexico City,other_dnf,1,0
ALB,Williams,Retired,9.0,R,2024,20,Mexico City,other_dnf,1,0
TSU,RB,Retired,11.0,R,2024,20,Mexico City,other_dnf,1,0
VER,Red Bull Racing,Finished,17.0,1,2024,21,São Paulo,finished,0,0
OCO,Alpine,Finished,4.0,2,2024,21,São Paulo,finished,0,0
GAS,Alpine,Finished,13.0,3,2024,21,São Paulo,finished,0,0
RUS,Mercedes,Finished,2.0,4,2024,21,São Paulo,finished,0,0
LEC,Ferrari,Finished,6.0,5,2024,21,São Paulo,finished,0,0
NOR,McLaren,Finished,1.0,6,2024,21,São Paulo,finished,0,0
TSU,RB,Finished,3.0,7,2024,21,São Paulo,finished,0,0
PIA,McLaren,Finished,8.0,8,2024,21,São Paulo,finished,0,0
LAW,RB,Finished,5.0,9,2024,21,São Paulo,finished,0,0
HAM,Mercedes,Finished,14.0,10,2024,21,São Paulo,finished,0,0
PER,Red Bull Racing,Finished,12.0,11,2024,21,São Paulo,finished,0,0
BEA,Haas F1 Team,Finished,15.0,12,2024,21,São Paulo,finished,0,0
BOT,Kick Sauber,Finished,11.0,13,2024,21,São Paulo,finished,0,0
ALO,Aston Martin,Finished,9.0,14,2024,21,São Paulo,finished,0,0
ZHO,Kick Sauber,Finished,19.0,15,2024,21,São Paulo,finished,0,0
SAI,Ferrari,Retired,20.0,R,2024,21,São Paulo,other_dnf,1,0
COL,Williams,Retired,16.0,R,2024,21,São Paulo,other_dnf,1,0
ALB,Williams,Did not start,7.0,W,2024,21,São Paulo,other_dnf,1,0
STR,Aston Martin,Did not start,10.0,W,2024,21,São Paulo,other_dnf,1,0
HUL,Haas F1 Team,Disqualified,18.0,D,2024,21,São Paulo,other_dnf,1,0
RUS,Mercedes,Finished,1.0,1,2024,22,Las Vegas,finished,0,0
HAM,Mercedes,Finished,10.0,2,2024,22,Las Vegas,finished,0,0
SAI,Ferrari,Finished,2.0,3,2024,22,Las Vegas,finished,0,0
LEC,Ferrari,Finished,4.0,4,2024,22,Las Vegas,finished,0,0
VER,Red Bull Racing,Finished,5.0,5,2024,22,Las Vegas,finished,0,0
NOR,McLaren,Finished,6.0,6,2024,22,Las Vegas,finished,0,0
PIA,McLaren,Finished,8.0,7,2024,22,Las Vegas,finished,0,0
HUL,Haas F1 Team,Finished,9.0,8,2024,22,Las Vegas,finished,0,0
TSU,RB,Finished,7.0,9,2024,22,Las Vegas,finished,0,0
PER,Red Bull Racing,Finished,15.0,10,2024,22,Las Vegas,finished,0,0
ALO,Aston Martin,Finished,16.0,11,2024,22,Las Vegas,finished,0,0
MAG,Haas F1 Team,Finished,12.0,12,2024,22,Las Vegas,finished,0,0
ZHO,Kick Sauber,Finished,13.0,13,2024,22,Las Vegas,finished,0,0
COL,Williams,Finished,20.0,14,2024,22,Las Vegas,finished,0,0
STR,Aston Martin,Finished,18.0,15,2024,22,Las Vegas,finished,0,0
LAW,RB,Finished,14.0,16,2024,22,Las Vegas,finished,0,0
OCO,Alpine,Lapped,11.0,17,2024,22,Las Vegas,other_dnf,1,0
BOT,Kick Sauber,Lapped,19.0,18,2024,22,Las Vegas,other_dnf,1,0
ALB,Williams,Retired,17.0,R,2024,22,Las Vegas,other_dnf,1,0
GAS,Alpine,Retired,3.0,R,2024,22,Las Vegas,other_dnf,1,0
VER,Red Bull Racing,Finished,2.0,1,2024,23,Lusail,finished,0,0
LEC,Ferrari,Finished,5.0,2,2024,23,Lusail,finished,0,0
PIA,McLaren,Finished,4.0,3,2024,23,Lusail,finished,0,0
RUS,Mercedes,Finished,1.0,4,2024,23,Lusail,finished,0,0
GAS,Alpine,Finished,11.0,5,2024,23,Lusail,finished,0,0
SAI,Ferrari,Finished,7.0,6,2024,23,Lusail,finished,0,0
ALO,Aston Martin,Finished,8.0,7,2024,23,Lusail,finished,0,0
ZHO,Kick Sauber,Finished,12.0,8,2024,23,Lusail,finished,0,0
MAG,Haas F1 Team,Finished,10.0,9,2024,23,Lusail,finished,0,0
NOR,McLaren,Finished,3.0,10,2024,23,Lusail,finished,0,0
BOT,Kick Sauber,Finished,13.0,11,2024,23,Lusail,finished,0,0
HAM,Mercedes,Finished,6.0,12,2024,23,Lusail,finished,0,0
TSU,RB,Finished,14.0,13,2024,23,Lusail,finished,0,0
LAW,RB,Finished,17.0,14,2024,23,Lusail,finished,0,0
ALB,Williams,Lapped,16.0,15,2024,23,Lusail,other_dnf,1,0
HUL,Haas F1 Team,Retired,18.0,R,2024,23,Lusail,other_dnf,1,0
PER,Red Bull Racing,Retired,9.0,R,2024,23,Lusail,other_dnf,1,0
STR,Aston Martin,Retired,15.0,R,2024,23,Lusail,other_dnf,1,0
COL,Williams,Retired,19.0,R,2024,23,Lusail,other_dnf,1,0
OCO,Alpine,Retired,20.0,R,2024,23,Lusail,other_dnf,1,0
NOR,McLaren,Finished,1.0,1,2024,24,Yas Island,finished,0,0
SAI,Ferrari,Finished,3.0,2,2024,24,Yas Island,finished,0,0
LEC,Ferrari,Finished,19.0,3,2024,24,Yas Island,finished,0,0
HAM,Mercedes,Finished,16.0,4,2024,24,Yas Island,finished,0,0
RUS,Mercedes,Finished,6.0,5,2024,24,Yas Island,finished,0,0
VER,Red Bull Racing,Finished,4.0,6,2024,24,Yas Island,finished,0,0
GAS,Alpine,Finished,5.0,7,2024,24,Yas Island,finished,0,0
HUL,Haas F1 Team,Finished,7.0,8,2024,24,Yas Island,finished,0,0
ALO,Aston Martin,Finished,8.0,9,2024,24,Yas Island,finished,0,0
PIA,McLaren,Finished,2.0,10,2024,24,Yas Island,finished,0,0
ALB,Williams,Lapped,18.0,11,2024,24,Yas Island,other_dnf,1,0
TSU,RB,Lapped,11.0,12,2024,24,Yas Island,other_dnf,1,0
ZHO,Kick Sauber,Lapped,15.0,13,2024,24,Yas Island,other_dnf,1,0
STR,Aston Martin,Lapped,13.0,14,2024,24,Yas Island,other_dnf,1,0
DOO,Alpine,Lapped,17.0,15,2024,24,Yas Island,other_dnf,1,0
MAG,Haas F1 Team,Lapped,14.0,16,2024,24,Yas Island,other_dnf,1,0
LAW,RB,Retired,12.0,17,2024,24,Yas Island,other_dnf,1,0
BOT,Kick Sauber,Retired,9.0,R,2024,24,Yas Island,other_dnf,1,0
COL,Williams,Retired,20.0,R,2024,24,Yas Island,other_dnf,1,0
PER,Red Bull Racing,Retired,10.0,R,2024,24,Yas Island,other_dnf,1,0
RUS,Mercedes,Finished,1.0,1,2026,1,Australia,finished,0,0
ANT,Mercedes,Finished,2.0,2,2026,1,Australia,finished,0,0
LEC,Ferrari,Finished,4.0,3,2026,1,Australia,finished,0,0
HAM,Ferrari,Finished,7.0,4,2026,1,Australia,finished,0,0
NOR,McLaren,Finished,6.0,5,2026,1,Australia,finished,0,0
VER,Red Bull Racing,Finished,20.0,6,2026,1,Australia,finished,0,0
BEA,Haas F1 Team,Lapped,12.0,7,2026,1,Australia,other_dnf,1,0
LIN,Racing Bulls,Lapped,9.0,8,2026,1,Australia,other_dnf,1,0
BOR,Audi,Lapped,10.0,9,2026,1,Australia,other_dnf,1,0
GAS,Alpine,Lapped,14.0,10,2026,1,Australia,other_dnf,1,0
OCO,Haas F1 Team,Lapped,13.0,11,2026,1,Australia,other_dnf,1,0
ALB,Williams,Lapped,15.0,12,2026,1,Australia,other_dnf,1,0
LAW,Racing Bulls,Lapped,8.0,13,2026,1,Australia,other_dnf,1,0
COL,Alpine,Lapped,16.0,14,2026,1,Australia,other_dnf,1,0
SAI,Williams,Lapped,21.0,15,2026,1,Australia,other_dnf,1,0
PER,Cadillac,Lapped,18.0,16,2026,1,Australia,other_dnf,1,0
STR,Aston Martin,Lapped,22.0,R,2026,1,Australia,other_dnf,1,0
ALO,Aston Martin,Retired,17.0,R,2026,1,Australia,other_dnf,1,0
BOT,Cadillac,Retired,19.0,R,2026,1,Australia,other_dnf,1,0
HAD,Red Bull Racing,Retired,3.0,R,2026,1,Australia,other_dnf,1,0
PIA,McLaren,Did not start,5.0,W,2026,1,Australia,other_dnf,1,0
HUL,Audi,Did not start,11.0,W,2026,1,Australia,other_dnf,1,0
