rank_test_score,mean_test_score,std_test_score,params
1,0.4741338895363012,0.012861904042028293,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.2, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.005, 'gamma': 0.1, 'colsample_bytree': 0.65}"
2,0.47272465247785256,0.013925217382750574,"{'subsample': 0.75, 'reg_lambda': 0.8, 'reg_alpha': 0.1, 'n_estimators': 800, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.005, 'gamma': 0.0, 'colsample_bytree': 0.75}"
3,0.47041853763589064,0.011994939959030802,"{'subsample': 0.85, 'reg_lambda': 0.8, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.65}"
4,0.4696698732018523,0.014181256579126751,"{'subsample': 0.8, 'reg_lambda': 0.8, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 2, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.75}"
5,0.46908800038462184,0.01703904920983073,"{'subsample': 0.85, 'reg_lambda': 1.5, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.15, 'colsample_bytree': 0.7}"
6,0.4683131170083721,0.014199643723165935,"{'subsample': 0.9, 'reg_lambda': 0.8, 'reg_alpha': 0.01, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.05, 'colsample_bytree': 0.65}"
7,0.46766190549280423,0.017624858451337832,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.0, 'colsample_bytree': 0.8}"
8,0.46721653785618816,0.01848171568749539,"{'subsample': 0.85, 'reg_lambda': 1.5, 'reg_alpha': 0.2, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.005, 'gamma': 0.0, 'colsample_bytree': 0.75}"
9,0.4671955614299192,0.018392530535904235,"{'subsample': 0.8, 'reg_lambda': 1.2, 'reg_alpha': 0.1, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.005, 'gamma': 0.2, 'colsample_bytree': 0.75}"
10,0.4671590801105376,0.014113072548219283,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.2, 'colsample_bytree': 0.65}"
11,0.46503583088963557,0.012203496567619647,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.05, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.8}"
12,0.46462139977772426,0.011955165079239438,"{'subsample': 0.75, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.75}"
13,0.46386457569146894,0.01567276415169439,"{'subsample': 0.9, 'reg_lambda': 1.2, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.1, 'colsample_bytree': 0.7}"
14,0.46304651018637194,0.022020058395775817,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.15, 'colsample_bytree': 0.8}"
15,0.4628668745627235,0.014200929385393484,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.2, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.65}"
16,0.46241135678538386,0.013429315837354775,"{'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.7}"
17,0.4616716773480664,0.011264245737858001,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.2, 'n_estimators': 1200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.65}"
18,0.4610081404699142,0.014450866603000472,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.2, 'n_estimators': 1200, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.01, 'gamma': 0.05, 'colsample_bytree': 0.7}"
19,0.4608187569171807,0.02167592919346703,"{'subsample': 0.8, 'reg_lambda': 0.8, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.005, 'gamma': 0.05, 'colsample_bytree': 0.8}"
20,0.46025121787489226,0.01873608729588767,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.2, 'n_estimators': 600, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.05, 'colsample_bytree': 0.65}"
21,0.4572800881112264,0.01528350860977471,"{'subsample': 0.75, 'reg_lambda': 1.5, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.85}"
22,0.4569071318803449,0.017538373051680062,"{'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0.05, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.005, 'gamma': 0.2, 'colsample_bytree': 0.65}"
23,0.45531395057244395,0.014474582756884733,"{'subsample': 0.85, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.8}"
24,0.45516522487063166,0.01605316178146683,"{'subsample': 0.85, 'reg_lambda': 0.8, 'reg_alpha': 0.05, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.15, 'colsample_bytree': 0.65}"
25,0.45321214896172296,0.023466574815652508,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.01, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.15, 'colsample_bytree': 0.65}"
26,0.4525868980003789,0.012022541521613021,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.65}"
27,0.4509392724763765,0.011605125310668629,"{'subsample': 0.85, 'reg_lambda': 1.5, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.05, 'colsample_bytree': 0.65}"
28,0.44892390515768876,0.024823976549212458,"{'subsample': 0.85, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.05, 'colsample_bytree': 0.65}"
29,0.4484377385348892,0.027042697098401843,"{'subsample': 0.85, 'reg_lambda': 2.0, 'reg_alpha': 0.05, 'n_estimators': 1200, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.15, 'colsample_bytree': 0.85}"
30,0.4483739042463362,0.01700844791041086,"{'subsample': 0.75, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.0, 'colsample_bytree': 0.85}"
31,0.44832293211377605,0.021484582281896352,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.05, 'n_estimators': 800, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.2, 'colsample_bytree': 0.7}"
32,0.4482107603099319,0.027504125802373568,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.2, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.2, 'colsample_bytree': 0.85}"
33,0.44495620329220986,0.017671213383312727,"{'subsample': 0.9, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.005, 'gamma': 0.15, 'colsample_bytree': 0.8}"
34,0.44474793539652185,0.014346292579050313,"{'subsample': 0.8, 'reg_lambda': 1.2, 'reg_alpha': 0.0, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.8}"
35,0.44324032422984394,0.028261141567404953,"{'subsample': 0.9, 'reg_lambda': 0.8, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.65}"
36,0.44308515434536977,0.024365109348494042,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.05, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 8, 'learning_rate': 0.01, 'gamma': 0.15, 'colsample_bytree': 0.7}"
37,0.44264165038960845,0.011125269076271692,"{'subsample': 0.85, 'reg_lambda': 1.5, 'reg_alpha': 0.2, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.85}"
38,0.4425640254511947,0.011446831843175784,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 0.2, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.05, 'colsample_bytree': 0.8}"
39,0.44242306652795776,0.025510677488015207,"{'subsample': 0.9, 'reg_lambda': 0.8, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.8}"
40,0.441634991009569,0.01579785506157635,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.75}"
41,0.43840082699056643,0.022736603378368456,"{'subsample': 0.85, 'reg_lambda': 0.8, 'reg_alpha': 0.05, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.7}"
42,0.4371276299112559,0.018209269420657044,"{'subsample': 0.85, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.7}"
43,0.43484178469158147,0.019133043004191292,"{'subsample': 0.85, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 6, 'learning_rate': 0.02, 'gamma': 0.15, 'colsample_bytree': 0.65}"
44,0.43337811425762895,0.01063116578957408,"{'subsample': 0.7, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.7}"
45,0.43336251811087206,0.021032678241812475,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.05, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.2, 'colsample_bytree': 0.75}"
46,0.4311607840350475,0.024496370492094254,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 2, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.0, 'colsample_bytree': 0.65}"
47,0.43025295023545596,0.01200372914239616,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.02, 'gamma': 0.15, 'colsample_bytree': 0.7}"
48,0.42909433870213753,0.016546716684133263,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.75}"
49,0.4284507638587405,0.03576045992526417,"{'subsample': 0.8, 'reg_lambda': 1.5, 'reg_alpha': 0.2, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}"
50,0.4276704347034859,0.019408426907795314,"{'subsample': 0.8, 'reg_lambda': 1.2, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.65}"
51,0.42645749892795076,0.021142172794563856,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 7, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.8}"
52,0.42487430057393877,0.031327969641752156,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 1200, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.85}"
53,0.4238995154747518,0.01478779256917563,"{'subsample': 0.7, 'reg_lambda': 1.5, 'reg_alpha': 0.0, 'n_estimators': 1200, 'min_child_weight': 7, 'max_depth': 8, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.75}"
54,0.4213987141091799,0.013514889843064409,"{'subsample': 0.7, 'reg_lambda': 1.2, 'reg_alpha': 0.2, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.85}"
55,0.41581579881707276,0.011153984686739199,"{'subsample': 0.75, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 800, 'min_child_weight': 2, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.75}"
56,0.41456905097971014,0.013756669944646728,"{'subsample': 0.7, 'reg_lambda': 0.8, 'reg_alpha': 0.2, 'n_estimators': 400, 'min_child_weight': 2, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.65}"
57,0.4137428562326493,0.0366877315413659,"{'subsample': 0.75, 'reg_lambda': 2.0, 'reg_alpha': 0.2, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 7, 'learning_rate': 0.03, 'gamma': 0.05, 'colsample_bytree': 0.8}"
58,0.40442190749182344,0.0201895480903552,"{'subsample': 0.75, 'reg_lambda': 1.2, 'reg_alpha': 0.01, 'n_estimators': 1200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}"
59,0.40265502056294356,0.01959517739624765,"{'subsample': 0.7, 'reg_lambda': 1.2, 'reg_alpha': 0.2, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.15, 'colsample_bytree': 0.8}"
60,0.3968185020784161,0.0417060184115232,"{'subsample': 0.7, 'reg_lambda': 0.8, 'reg_alpha': 0.01, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.8}"
